name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas psychrotolerans	237610	S	295	77	372	0.00004
Pseudomonas otitidis	319939	S	211	44	255	0.00003
Pseudomonas arsenicoxydans	702115	S	191	28	219	0.00002
Pseudomonas cavernae	2320867	S	190	45	235	0.00003
Pseudomonas knackmussii	65741	S	174	92	266	0.00003
Pseudomonas entomophila	312306	S	155	30	185	0.00002
Pseudomonas marincola	437900	S	153	18	171	0.00002
Pseudomonas palleroniana	191390	S	148	20	168	0.00002
Pseudomonas umsongensis	198618	S	138	22	160	0.00002
Pseudomonas pohangensis	364197	S	116	5	121	0.00001
Pseudomonas rhizosphaerae	216142	S	113	12	125	0.00001
Pseudomonas phragmitis	1931241	S	112	4	116	0.00001
Pseudomonas agarici	46677	S	108	3	111	0.00001
Pseudomonas lurida	244566	S	107	26	133	0.00001
Pseudomonas saudiphocaensis	1499686	S	106	7	113	0.00001
Pseudomonas parafulva	157782	S	105	36	141	0.00002
Pseudomonas phytophila	2867264	S	103	0	103	0.00001
Pseudomonas guangdongensis	1245526	S	102	49	151	0.00002
Pseudomonas allokribbensis	2774460	S	101	40	141	0.00002
Pseudomonas lalkuanensis	2604832	S	97	17	114	0.00001
Pseudomonas vancouverensis	95300	S	94	15	109	0.00001
Pseudomonas benzenivorans	556533	S	92	0	92	0.00001
Pseudomonas muyukensis	2842357	S	92	0	92	0.00001
Pseudomonas cremoricolorata	157783	S	91	11	102	0.00001
Pseudomonas sediminis	1691904	S	81	23	104	0.00001
Pseudomonas solani	2731552	S	81	0	81	0.00001
Pseudomonas extremaustralis	359110	S	80	18	98	0.00001
Pseudomonas alkylphenolica	237609	S	77	13	90	0.00001
Pseudomonas nunensis	2961896	S	76	0	76	0.00001
Pseudomonas reinekei	395598	S	74	12	86	0.00001
Pseudomonas hamedanensis	2745504	S	68	0	68	0.00001
Pseudomonas qingdaonensis	2056231	S	68	0	68	0.00001
Pseudomonas chengduensis	489632	S	68	0	68	0.00001
Pseudomonas zeae	2745510	S	67	0	67	0.00001
Pseudomonas kielensis	2762577	S	64	0	64	0.00001
uncultured Pseudomonas sp.	114707	S	62	0	62	0.00001
Pseudomonas fakonensis	2842355	S	61	0	61	0.00001
Pseudomonas siliginis	2842346	S	55	0	55	0.00001
Pseudomonas promysalinigenes	485898	S	54	0	54	0.00001
Pseudomonas oryzae	1392877	S	54	26	80	0.00001
Pseudomonas psychrophila	122355	S	54	8	62	0.00001
Pseudomonas phenolilytica	2746321	S	54	0	54	0.00001
Pseudomonas fitomaticsae	2837969	S	53	0	53	0.00001
Pseudomonas brassicacearum	930166	S	51	133	184	0.00002
Pseudomonas campi	2731681	S	51	8	59	0.00001
Pseudomonas gozinkensis	2774461	S	49	27	76	0.00001
Pseudomonas asgharzadehiana	2842349	S	49	0	49	0.00001
Pseudomonas sivasensis	1880678	S	49	0	49	0.00001
Pseudomonas graminis	158627	S	47	16	63	0.00001
Pseudomonas versuta	1788301	S	47	7	54	0.00001
Pseudomonas tohonis	2725477	S	46	12	58	0.00001
Pseudomonas vanderleydeniana	2745495	S	44	0	44	0.00000
Pseudomonas prosekii	1148509	S	43	6	49	0.00001
Pseudomonas maumuensis	2842354	S	40	0	40	0.00000
Pseudomonas luteola	47886	S	39	23	62	0.00001
Pseudomonas cerasi	1583341	S	39	122	161	0.00002
Pseudomonas antarctica	219572	S	36	10	46	0.00001
Pseudomonas frederiksbergensis	104087	S	33	12	45	0.00000
Pseudomonas silesiensis	1853130	S	33	7	40	0.00000
Pseudomonas xantholysinigenes	2745490	S	33	0	33	0.00000
Pseudomonas guguanensis	1198456	S	32	0	32	0.00000
Pseudomonas atacamensis	2565368	S	31	36	67	0.00001
Pseudomonas viciae	2505979	S	31	8	39	0.00000
Pseudomonas argentinensis	289370	S	31	0	31	0.00000
Pseudomonas canadensis	915099	S	31	0	31	0.00000
Pseudomonas taetrolens	47884	S	30	3	33	0.00000
Pseudomonas rhizophila	2045200	S	30	524	554	0.00006
Pseudomonas eucalypticola	2599595	S	29	3	32	0.00000
Pseudomonas xanthosomatis	2842356	S	24	0	24	0.00000
Candidatus Pseudomonas adelgestsugas	1302376	S	22	0	22	0.00000
Pseudomonas yamanorum	515393	S	21	5	26	0.00000
Pseudomonas wenzhouensis	2906062	S	21	0	21	0.00000
Pseudomonas izuensis	2684212	S	21	0	21	0.00000
Pseudomonas glycinae	1785145	S	20	51	71	0.00001
Pseudomonas simiae	321846	S	19	5	24	0.00000
Pseudomonas seleniipraecipitans	640205	S	19	0	19	0.00000
Pseudomonas zarinae	2745498	S	17	0	17	0.00000
Pseudomonas soli	1306993	S	15	55	70	0.00001
Pseudomonas laurylsulfatiphila	2011015	S	14	0	14	0.00000
Pseudomonas tructae	2518644	S	13	3	16	0.00000
Pseudomonas sichuanensis	2213015	S	13	0	13	0.00000
Pseudomonas pergaminensis	2853159	S	13	0	13	0.00000
Pseudomonas asiatica	2219225	S	12	145	157	0.00002
Pseudomonas iranensis	2745503	S	12	0	12	0.00000
Pseudomonas lini	163011	S	11	2	13	0.00000
Pseudomonas hydrolytica	2493633	S	11	0	11	0.00000
Pseudomonas donghuensis	1163398	S	11	0	11	0.00000
Pseudomonas juntendi	2666183	S	11	16044	16055	0.00177
Pseudomonas quebecensis	2995174	S	10	0	10	0.00000
Pseudomonas tritici	2745518	S	10	0	10	0.00000
Pseudomonas lactis	1615674	S	10	10	20	0.00000
Pseudomonas thivervalensis	86265	S	10	2	12	0.00000
Stutzerimonas stutzeri	316	S	1050	399	1449	0.00016
Stutzerimonas frequens	2968969	S	91	0	91	0.00001
Stutzerimonas balearica	74829	S	56	47	103	0.00001
Stutzerimonas degradans	2968968	S	40	0	40	0.00000
Stutzerimonas xanthomarina	271420	S	118	22	140	0.00002
Stutzerimonas decontaminans	3022791	S	67	0	67	0.00001
[Pseudomonas] zhaodongensis	1176257	S	56	0	56	0.00001
Halopseudomonas sp. RR6	2918528	S	294	0	294	0.00003
Halopseudomonas sp. SMJS2	3041098	S	240	0	240	0.00003
Pseudomonas denitrificans (nom. rej.)	43306	S	140	30	170	0.00002
Halopseudomonas aestusnigri	857252	S	10	0	10	0.00000
Halopseudomonas litoralis	797277	S	140	14	154	0.00002
Halopseudomonas xinjiangensis	487184	S	129	4	133	0.00001
Halopseudomonas salegens	1434072	S	104	3	107	0.00001
Halopseudomonas sabulinigri	472181	S	63	2	65	0.00001
Halopseudomonas nanhaiensis	2830842	S	40	0	40	0.00000
Azotobacter chroococcum	353	S	213	357	570	0.00006
Azotobacter vinelandii	354	S	135	0	135	0.00001
Azotobacter salinestris	69964	S	131	176	307	0.00003
Permianibacter aggregans	1510150	S	180	1	181	0.00002
Thiopseudomonas alkaliphila	1697053	S	126	36	162	0.00002
Entomomonas moraniae	2213226	S	30	7	37	0.00000
Entomomonas asaccharolytica	2785331	S	28	5	33	0.00000
Entomomonas sp. E2T0	2930213	S	10	0	10	0.00000
Denitrificimonas caeni	521720	S	72	0	72	0.00001
Marinobacter sp. LA51	3035454	S	242	0	242	0.00003
Marinobacter sp.	50741	S	231	0	231	0.00003
Marinobacter sp. LQ44	1749259	S	129	78	207	0.00002
Marinobacter sp. AN1	2886046	S	120	0	120	0.00001
Marinobacter sp. NP-4(2019)	2488665	S	117	20	137	0.00002
Marinobacter sp. CA1	2817656	S	103	0	103	0.00001
Marinobacter sp. Arc7-DN-1	2304594	S	97	6	103	0.00001
Marinobacter sp. CP1	1671721	S	89	160	249	0.00003
Marinobacter sp. BSs20148	490759	S	53	34	87	0.00001
Marinobacter sp. es.042	1761794	S	44	35	79	0.00001
Marinobacter sp. JH2	2547598	S	41	5	46	0.00001
Marinobacter sp. M3C	2917715	S	40	0	40	0.00000
Marinobacter sp. LV10R510-11A	1415568	S	39	0	39	0.00000
Marinobacter sp. LPB0319	2769486	S	35	0	35	0.00000
Marinobacter nauticus	2743	S	236	49	285	0.00003
Marinobacter salarius	1420917	S	222	35	257	0.00003
Marinobacter salsuginis	418719	S	148	21	169	0.00002
Marinobacter adhaerens	1033846	S	118	15	133	0.00001
Marinobacter fonticola	2603215	S	112	2	114	0.00001
Marinobacter salinus	1874317	S	69	2	71	0.00001
Marinobacter shengliensis	1389223	S	57	0	57	0.00001
Marinobacter similis	1420916	S	50	0	50	0.00001
Marinobacter psychrophilus	330734	S	21	13	34	0.00000
Stenotrophomonas sp. 169	2770322	S	237	17	254	0.00003
Stenotrophomonas sp. 610A2	3055080	S	235	0	235	0.00003
Stenotrophomonas sp. 57	3051119	S	201	0	201	0.00002
Stenotrophomonas sp. DFS-20110405	2871169	S	126	0	126	0.00001
Stenotrophomonas sp. 364	2691571	S	74	37	111	0.00001
Stenotrophomonas sp. WZN-1	2005046	S	73	103	176	0.00002
Stenotrophomonas sp. NA06056	2742129	S	72	51	123	0.00001
Stenotrophomonas sp. 704A1	3055079	S	60	0	60	0.00001
Stenotrophomonas sp. BIO128-Bstrain	3027225	S	59	0	59	0.00001
Stenotrophomonas sp. LM091	1904944	S	42	18	60	0.00001
Stenotrophomonas sp. 17(2023)	3051123	S	29	0	29	0.00000
Stenotrophomonas sp. PAMC25021	2565559	S	22	1515	1537	0.00017
Stenotrophomonas sp. SI-NJAU-1	2886359	S	19	0	19	0.00000
Stenotrophomonas sp. MYb57	1827305	S	18	155	173	0.00002
Stenotrophomonas sp. 59	3051120	S	18	0	18	0.00000
Stenotrophomonas sp. DR822	2871174	S	14	0	14	0.00000
Stenotrophomonas maltophilia	40324	S	1074	418	1492	0.00016
Stenotrophomonas sp. SAU14A_NAIMI4_5	2072413	S	61	9	70	0.00001
Stenotrophomonas sp. ESTM1D_MKCIP4_1	2072414	S	52	4	56	0.00001
Stenotrophomonas sp. SAU14A_NAIMI4_8	2072409	S	24	46	70	0.00001
Stenotrophomonas sp. ZAC14D2_NAIMI4_7	2072405	S	18	5	23	0.00000
Stenotrophomonas sp. YAU14D1_LEIMI4_1	2072407	S	18	9	27	0.00000
Stenotrophomonas sp. ZAC14A_NAIMI4_1	2072412	S	17	9	26	0.00000
Stenotrophomonas sp. ZAC14D2_NAIMI4_6	2072406	S	14	8	22	0.00000
Stenotrophomonas rhizophila	216778	S	550	34	584	0.00006
Stenotrophomonas acidaminiphila	128780	S	389	323	712	0.00008
Stenotrophomonas pavanii	487698	S	38	0	38	0.00000
Stenotrophomonas indicatrix	2045451	S	24	33	57	0.00001
Xanthomonas campestris	339	S	641	42	683	0.00008
Xanthomonas sacchari	56458	S	525	27	552	0.00006
Xanthomonas cucurbitae	56453	S	338	8	346	0.00004
Xanthomonas translucens	343	S	332	4	336	0.00004
Xanthomonas hortorum	56454	S	310	9	319	0.00004
Xanthomonas sp. AM6	2982531	S	74	0	74	0.00001
Xanthomonas sp. CFBP 8443	2971235	S	41	0	41	0.00000
Xanthomonas sp. CFBP 8445	2971236	S	34	0	34	0.00000
Xanthomonas sp. GW	2724121	S	16	15	31	0.00000
Xanthomonas sp. SS	2724122	S	15	17	32	0.00000
Xanthomonas fragariae	48664	S	198	6	204	0.00002
Xanthomonas albilineans	29447	S	184	4	188	0.00002
Xanthomonas oryzae	347	S	184	4	188	0.00002
Xanthomonas vesicatoria	56460	S	163	33	196	0.00002
Xanthomonas arboricola	56448	S	152	13	165	0.00002
Xanthomonas euroxanthea	2259622	S	128	7	135	0.00001
Xanthomonas phaseoli	1985254	S	104	7	111	0.00001
Xanthomonas citri	346	S	83	44	127	0.00001
Xanthomonas euvesicatoria	456327	S	74	8261	8335	0.00092
Xanthomonas vasicola	56459	S	62	2	64	0.00001
Xanthomonas hyacinthi	56455	S	60	13	73	0.00001
Xanthomonas theicola	56464	S	46	2	48	0.00001
Xanthomonas axonopodis	53413	S	43	2	45	0.00000
Xanthomonas cassavae	56450	S	28	0	28	0.00000
Xanthomonas prunicola	2053930	S	23	0	23	0.00000
Lysobacter sp. TY2-98	2290922	S	178	20	198	0.00002
Lysobacter sp. CJ11	2764185	S	147	0	147	0.00002
Lysobacter sp. K5869	2820808	S	123	0	123	0.00001
Lysobacter sp. 5GHs7-4	2904253	S	114	0	114	0.00001
Lysobacter sp. S4-A87	2925843	S	104	0	104	0.00001
Lysobacter sp. CW239	2762611	S	79	23	102	0.00001
Lysobacter sp. HDW10	2714936	S	78	6	84	0.00001
Lysobacter sp. KIS68-7	2904252	S	66	0	66	0.00001
Lysobacter sp. H21R4	2781021	S	37	9	46	0.00001
Lysobacter sp. H23M47	2781024	S	14	8	22	0.00000
Lysobacter enzymogenes	69	S	464	396	860	0.00009
Lysobacter oculi	2698682	S	246	49	295	0.00003
Lysobacter soli	453783	S	225	80	305	0.00003
Lysobacter alkalisoli	2591633	S	171	40	211	0.00002
Lysobacter antibioticus	84531	S	164	114	278	0.00003
Lysobacter capsici	435897	S	151	144	295	0.00003
Lysobacter auxotrophicus	2992573	S	149	0	149	0.00002
Lysobacter terrestris	2865112	S	141	0	141	0.00002
Lysobacter solisilvae	2763317	S	127	40	167	0.00002
Lysobacter lycopersici	1324796	S	92	15	107	0.00001
Lysobacter maris	1605891	S	87	29	116	0.00001
Lysobacter luteus	2822368	S	57	0	57	0.00001
Lysobacter arenosi	2795387	S	33	14	47	0.00001
Lysobacter gummosus	262324	S	22	22	44	0.00000
Lysobacter avium	2781023	S	10	5	15	0.00000
Pseudoxanthomonas sp. X-1	2571115	S	1262	0	1262	0.00014
Pseudoxanthomonas sp. SE1	1664560	S	470	0	470	0.00005
Pseudoxanthomonas sp. JBR18	2969308	S	195	0	195	0.00002
Pseudoxanthomonas sp.	1871049	S	114	0	114	0.00001
Pseudoxanthomonas sp. SL93	2995142	S	111	0	111	0.00001
Pseudoxanthomonas suwonensis	314722	S	333	206	539	0.00006
Pseudoxanthomonas mexicana	128785	S	280	234	514	0.00006
Pseudoxanthomonas spadix	415229	S	131	63	194	0.00002
Pseudoxanthomonas winnipegensis	2480810	S	104	0	104	0.00001
Pseudoxanthomonas daejeonensis	266062	S	93	0	93	0.00001
Luteimonas sp. MC1750	2799326	S	200	31	231	0.00003
Luteimonas sp. MC1825	2761107	S	174	41	215	0.00002
Luteimonas sp. YGD11-2	2508168	S	130	38	168	0.00002
Luteimonas sp. JM171	1896164	S	112	5	117	0.00001
Luteimonas sp. MC1572	2799325	S	111	25	136	0.00001
Luteimonas sp. S4-F44	2925842	S	49	0	49	0.00001
Luteimonas granuli	1176533	S	71	11	82	0.00001
Luteimonas chenhongjianii	2006110	S	60	2	62	0.00001
Luteimonas yindakuii	2565782	S	55	15	70	0.00001
Luteimonas fraxinea	2901869	S	50	0	50	0.00001
Thermomonas sp. XSG	2771436	S	134	45	179	0.00002
Thermomonas sp. HDW16	2714945	S	64	6	70	0.00001
Thermomonas aquatica	2202149	S	188	34	222	0.00002
Thermomonas carbonis	1463158	S	185	19	204	0.00002
Thermomonas brevis	215691	S	135	53	188	0.00002
Thermomonas paludicola	2884874	S	79	0	79	0.00001
Pseudolysobacter antarcticus	2511995	S	141	0	141	0.00002
Xylella fastidiosa	2371	S	95	10	105	0.00001
Xylella taiwanensis	1444770	S	18	0	18	0.00000
Arenimonas daejeonensis	370777	S	62	1	63	0.00001
Dyella japonica	231455	S	446	137	583	0.00006
Dyella sp. GSA-30	2994496	S	180	0	180	0.00002
Dyella sp. M7H15-1	2501295	S	130	15	145	0.00002
Dyella telluris	2763498	S	204	57	261	0.00003
Dyella thiooxydans	445710	S	144	63	207	0.00002
Dyella caseinilytica	1849581	S	115	11	126	0.00001
Dyella terrae	522259	S	113	0	113	0.00001
Luteibacter anthropi	564369	S	284	0	284	0.00003
Luteibacter aegosomatis	2911537	S	239	0	239	0.00003
Luteibacter flocculans	2780091	S	196	0	196	0.00002
Luteibacter pinisoli	2589080	S	184	58	242	0.00003
Luteibacter aegosomaticola	2911538	S	165	0	165	0.00002
Luteibacter rhizovicinus	242606	S	127	31	158	0.00002
Luteibacter aegosomatissinici	2911539	S	80	0	80	0.00001
Rhodanobacter thiooxydans	416169	S	435	0	435	0.00005
Rhodanobacter sp. AS-Z3	3031330	S	158	0	158	0.00002
Rhodanobacter sp. FDAARGOS 1247	2778082	S	96	66	162	0.00002
Rhodanobacter denitrificans	666685	S	93	59	152	0.00002
Rhodanobacter glycinis	582702	S	70	25	95	0.00001
Frateuria soli	1542730	S	304	0	304	0.00003
Frateuria aurantia	81475	S	93	25	118	0.00001
Frateuria edaphi	2898793	S	84	0	84	0.00001
Tahibacter amnicola	2976241	S	322	0	322	0.00004
Dokdonella koreensis	323415	S	170	15	185	0.00002
Aerosticca soli	2010829	S	127	131	258	0.00003
Ahniella affigens	2021234	S	100	0	100	0.00001
Acinetobacter sp. NCu2D-2	1608473	S	3096	506	3602	0.00040
Acinetobacter sp. LoGeW2-3	1808001	S	310	44	354	0.00004
Acinetobacter sp. ASP199	2773709	S	295	0	295	0.00003
Acinetobacter sp. CS-2	2798861	S	267	134	401	0.00004
Acinetobacter sp. TGL-Y2	1407071	S	227	9	236	0.00003
Acinetobacter sp. TTH0-4	1646498	S	204	40	244	0.00003
Acinetobacter sp. 10FS3-1	2563897	S	196	98	294	0.00003
Acinetobacter sp. AHP123	2913495	S	141	0	141	0.00002
Acinetobacter sp. GSS19	3020716	S	124	0	124	0.00001
Acinetobacter sp. WCHAc010034	1879049	S	110	35	145	0.00002
Acinetobacter sp. Marseille-Q1620	2714110	S	108	2	110	0.00001
Acinetobacter sp. Z1	2953738	S	99	0	99	0.00001
Acinetobacter sp. SCLZS86	2908637	S	97	0	97	0.00001
Acinetobacter sp. KCTC 92772	3045147	S	91	0	91	0.00001
Acinetobacter sp. WCHA55	2004646	S	84	60	144	0.00002
Acinetobacter sp. YH16056_T	2929514	S	80	0	80	0.00001
Acinetobacter sp. YH12138	2601122	S	74	20	94	0.00001
Acinetobacter sp. C32I	2950074	S	74	0	74	0.00001
Acinetobacter sp. ACNIH2	1758189	S	74	38	112	0.00001
Acinetobacter sp. ESL0695	2983215	S	69	0	69	0.00001
Acinetobacter sp. C16S1	2609668	S	52	13	65	0.00001
Acinetobacter sp. WCHAc010052	2004647	S	50	20	70	0.00001
Acinetobacter sp. YH16040_T	2929512	S	45	0	45	0.00000
Acinetobacter sp. WY4	2708348	S	42	0	42	0.00000
Acinetobacter sp. SH20PTE14	2905879	S	42	0	42	0.00000
Acinetobacter sp. YH12068_T	2929515	S	36	0	36	0.00000
Acinetobacter sp. WCHA45	2004644	S	32	33	65	0.00001
Acinetobacter sp. PK01	2930198	S	31	0	31	0.00000
Acinetobacter sp. XS-4	2923375	S	31	0	31	0.00000
Acinetobacter sp. TAC-1	3027470	S	27	0	27	0.00000
Acinetobacter sp. NEB 394	2743575	S	25	44	69	0.00001
Acinetobacter sp. AS23	2871688	S	24	0	24	0.00000
Acinetobacter sp. MYb10	1827285	S	21	3	24	0.00000
Acinetobacter sp. TR11	3003393	S	21	0	21	0.00000
Acinetobacter sp. F9	2853158	S	20	0	20	0.00000
Acinetobacter sp. SWBY1	2079596	S	20	29	49	0.00001
Acinetobacter sp. Colony158	2810070	S	19	0	19	0.00000
Acinetobacter sp. NEB149	2725684	S	19	43	62	0.00001
Acinetobacter sp. FDAARGOS_724	2545797	S	14	179	193	0.00002
Acinetobacter sp. TR3	3003392	S	13	0	13	0.00000
Acinetobacter sp. ACNIH1	1636603	S	13	170	183	0.00002
Acinetobacter sp. NyZ410	2929509	S	11	0	11	0.00000
Acinetobacter baumannii	470	S	411	1730	2141	0.00024
Acinetobacter calcoaceticus	471	S	193	16	209	0.00002
Acinetobacter pittii	48296	S	170	232	402	0.00004
Acinetobacter seifertii	1530123	S	136	40	176	0.00002
Acinetobacter nosocomialis	106654	S	71	31	102	0.00001
Acinetobacter lactucae	1785128	S	15	3	18	0.00000
Acinetobacter indicus	756892	S	668	171	839	0.00009
Acinetobacter wanghuae	2662362	S	521	24	545	0.00006
Acinetobacter johnsonii	40214	S	518	350	868	0.00010
Acinetobacter schindleri	108981	S	498	180	678	0.00007
Acinetobacter lwoffii	28090	S	414	384	798	0.00009
Acinetobacter portensis	1839785	S	376	0	376	0.00004
Acinetobacter variabilis	70346	S	348	268	616	0.00007
Acinetobacter lanii	2715163	S	333	13	346	0.00004
Acinetobacter equi	1324350	S	310	9	319	0.00004
Acinetobacter cumulans	2136182	S	306	57	363	0.00004
Acinetobacter shaoyimingii	2715164	S	266	8	274	0.00003
Acinetobacter bouvetii	202951	S	210	0	210	0.00002
Acinetobacter wuhouensis	1879050	S	209	60	269	0.00003
Acinetobacter radioresistens	40216	S	198	18	216	0.00002
Acinetobacter towneri	202956	S	178	189	367	0.00004
Acinetobacter colistiniresistens	280145	S	177	0	177	0.00002
Acinetobacter junii	40215	S	167	32	199	0.00002
Acinetobacter piscicola	2006115	S	157	39	196	0.00002
Acinetobacter defluvii	1871111	S	148	69	217	0.00002
Acinetobacter soli	487316	S	137	6	143	0.00002
Acinetobacter haemolyticus	29430	S	131	36	167	0.00002
Acinetobacter tibetensis	2943497	S	129	0	129	0.00001
Acinetobacter larvae	1789224	S	119	3	122	0.00001
Acinetobacter baylyi	202950	S	110	123	233	0.00003
Acinetobacter vivianii	1776742	S	107	0	107	0.00001
Acinetobacter pseudolwoffii	2053287	S	92	0	92	0.00001
Acinetobacter venetianus	52133	S	91	10	101	0.00001
Acinetobacter dispersus	70348	S	65	2	67	0.00001
Acinetobacter bereziniae	106648	S	56	5	61	0.00001
Acinetobacter chinensis	2004650	S	55	27	82	0.00001
Acinetobacter guillouiae	106649	S	55	9	64	0.00001
Acinetobacter ursingii	108980	S	48	13	61	0.00001
Acinetobacter proteolyticus	1776741	S	46	0	46	0.00001
Acinetobacter oleivorans	1148157	S	10	1	11	0.00000
Moraxella sp. ZY171148	2904119	S	86	0	86	0.00001
Moraxella sp. ZY210820	2904123	S	44	0	44	0.00000
Moraxella sp. FZFQ2102	2953752	S	13	0	13	0.00000
Moraxella cuniculi	34061	S	192	4	196	0.00002
Moraxella nasicaprae	2904122	S	132	0	132	0.00001
Moraxella bovis	476	S	129	12	141	0.00002
Moraxella osloensis	34062	S	109	9	118	0.00001
Moraxella nasovis	2904121	S	83	0	83	0.00001
Moraxella bovoculi	386891	S	81	45	126	0.00001
Moraxella catarrhalis	480	S	56	3	59	0.00001
Moraxella nasibovis	2904120	S	37	0	37	0.00000
Moraxella ovis	29433	S	32	34	66	0.00001
Psychrobacter sp. P11F6	1699621	S	55	12	67	0.00001
Psychrobacter sp. M13	3067275	S	48	0	48	0.00001
Psychrobacter sp. P11G5	1699624	S	39	119	158	0.00002
Psychrobacter sp. SC65A.3	2983299	S	38	0	38	0.00000
Psychrobacter sp. P11G3	1699623	S	30	14	44	0.00000
Psychrobacter sp. PraFG1	2565531	S	29	0	29	0.00000
Psychrobacter sp. 28M-43	2772254	S	19	9	28	0.00000
Psychrobacter sp. van23A	3064892	S	17	0	17	0.00000
Psychrobacter sp. DAB_AL43B	1028416	S	14	1	15	0.00000
Psychrobacter sp. G	571800	S	12	58	70	0.00001
Psychrobacter sp. P2G3	1699622	S	10	29	39	0.00000
Psychrobacter arenosus	256326	S	111	4	115	0.00001
Psychrobacter urativorans	45610	S	34	4	38	0.00000
Psychrobacter arcticus	334543	S	25	7	32	0.00000
Psychrobacter sanguinis	861445	S	20	0	20	0.00000
Aquirhabdus parva	2283318	S	19	0	19	0.00000
Halomonas sp. Y3	2956797	S	266	0	266	0.00003
Halomonas sp. SH5A2	2749040	S	243	37	280	0.00003
Halomonas sp. DN3	2953657	S	209	0	209	0.00002
Halomonas sp. CKK8	3036127	S	208	0	208	0.00002
Halomonas sp. THAF5a	2587844	S	193	77	270	0.00003
Halomonas sp. MCCC 1A13316	2733487	S	178	10	188	0.00002
Halomonas sp. 1513	1883416	S	143	9	152	0.00002
Halomonas sp. A40-4	2785909	S	143	28	171	0.00002
Halomonas sp. GD1P12	2982691	S	113	0	113	0.00001
Halomonas sp. BDJS001	2992143	S	113	0	113	0.00001
Halomonas sp. FeN2	2832500	S	112	0	112	0.00001
Halomonas sp. R57-5	1610576	S	102	7887	7989	0.00088
Halomonas sp. LR3S48	2982694	S	79	0	79	0.00001
Halomonas sp. KG2	2951138	S	79	0	79	0.00001
Halomonas sp. M4R1S46	2982692	S	74	0	74	0.00001
Halomonas sp. YLGW01	2773308	S	70	3	73	0.00001
Halomonas sp. 3H	2952527	S	70	0	70	0.00001
Halomonas sp. I5-271120	3061632	S	58	0	58	0.00001
Halomonas sp. JS92-SW72	2306583	S	51	179	230	0.00003
Halomonas sp. A020	2717374	S	49	0	49	0.00001
Halomonas sp. PGE1	2730360	S	49	189	238	0.00003
Halomonas sp. 18071143	2855441	S	45	0	45	0.00000
Halomonas sp. HAL1	550984	S	45	0	45	0.00000
Halomonas sp. HG01	1609967	S	45	36	81	0.00001
Halomonas sp. TD01	999141	S	42	0	42	0.00000
Halomonas sp. THAF12	2587849	S	42	44	86	0.00001
Halomonas sp. KO116	1504981	S	39	2	41	0.00000
Halomonas sp. 7T	2893469	S	37	0	37	0.00000
Halomonas sp. M1	3035470	S	27	0	27	0.00000
Halomonas sp. NyZ770	2883106	S	21	0	21	0.00000
Halomonas sp. GT	1971364	S	12	2	14	0.00000
Halomonas socia	1081866	S	282	3	285	0.00003
Halomonas elongata	2746	S	263	0	263	0.00003
Halomonas tianxiuensis	2497861	S	239	36	275	0.00003
Halomonas subglaciescola	29571	S	170	2	172	0.00002
Halomonas meridiana	29570	S	156	17	173	0.00002
Halomonas binhaiensis	2562282	S	133	0	133	0.00001
Halomonas beimenensis	475662	S	112	1	113	0.00001
Halomonas chromatireducens	507626	S	105	0	105	0.00001
Halomonas huangheensis	1178482	S	99	0	99	0.00001
Halomonas profundi	2852117	S	84	0	84	0.00001
Halomonas aestuarii	1897729	S	65	1	66	0.00001
Halomonas alkalicola	1930622	S	46	0	46	0.00001
Halomonas sulfidivorans	2733488	S	44	7	51	0.00001
Halomonas alkaliantarctica	232346	S	27	0	27	0.00000
Halomonas venusta	44935	S	18	0	18	0.00000
Halomonas piezotolerans	2609667	S	17	0	17	0.00000
Halomonas hydrothermalis	115561	S	14	0	14	0.00000
Salinicola sp. JS01	3050071	S	206	0	206	0.00002
Salinicola endophyticus	1949083	S	98	0	98	0.00001
Salinicola tamaricis	1771309	S	80	0	80	0.00001
Cobetia sp. L2A1	2686360	S	78	41	119	0.00001
Cobetia sp. cqz5-12	2609415	S	23	151	174	0.00002
Cobetia amphilecti	1055104	S	38	0	38	0.00000
Kushneria konosiri	698828	S	129	8	137	0.00002
Kushneria phosphatilytica	657387	S	110	0	110	0.00001
Kushneria marisflavi	157779	S	61	3	64	0.00001
Zymobacter palmae	33074	S	200	4	204	0.00002
Candidatus Portiera aleyrodidarum	91844	S	64	1	65	0.00001
Candidatus Carsonella ruddii	114186	S	23	2	25	0.00000
Halotalea alkalilenta	376489	S	260	15	275	0.00003
Chromohalobacter salexigens	158080	S	99	1	100	0.00001
Pistricoccus aurantiacus	1883414	S	61	0	61	0.00001
Marinobacterium iners	48076	S	259	42	301	0.00003
Marinobacterium aestuarii	1821621	S	179	3	182	0.00002
Marinobacterium sediminicola	518898	S	159	0	159	0.00002
Marinobacterium sp. LSUCC0821	2668067	S	124	12	136	0.00001
Marinobacterium rhizophilum	420402	S	92	0	92	0.00001
Marinomonas sp. A3A	2065312	S	60	0	60	0.00001
Marinomonas sp. CT5	2066133	S	52	0	52	0.00001
Marinomonas sp. FW-1	2071621	S	24	7	31	0.00000
Marinomonas mediterranea	119864	S	130	0	130	0.00001
Marinomonas posidonica	936476	S	67	5	72	0.00001
Marinomonas primoryensis	178399	S	57	4	61	0.00001
Marinomonas rhizomae	491948	S	57	0	57	0.00001
